Lesson No.,Module,Lesson Title,Target Folder,Image 1 Pexels Link,Image 1 Status,Image 2 Pexels Link,Image 2 Status,Notes
2.1,Module 2: AC and Electrical Cables,Electrical terms,site/static/img/figures/module-02-ac-electrical-cables-meters/electrical-terms/,https://www.pexels.com/photo/electricity-wires-on-posts-15233915/,Added (tangled-electrical-wires.png),,,
2.2,Module 2: AC and Electrical Cables,Measuring instrument meter,site/static/img/figures/module-02-ac-electrical-cables-meters/measuring-instrument-meter/,https://www.pexels.com/photo/electric-instrument-for-electrical-measurements-in-workshop-4398314/,Added (digital-multimeter-workshop.png),,,
6.2,Module 6: Soldering/Desoldering and Switches,Types of switches,site/static/img/figures/module-06-soldering-switches/types-of-switches/,https://www.pexels.com/photo/power-on-and-off-switch-on-wall-7663143/,Added (toggle-switch-power.png),https://www.pexels.com/photo/white-light-rocker-switches-on-gray-wall-12996907/,Added (rocker-switches.png),
7.1,Module 7: Active and Passive Components,"Active/passive electronic components, Resistors",site/static/img/figures/module-07-active-passive-components/active-passive-resistors/,https://www.pexels.com/photo/resistor-and-steel-wire-6586771/,Added (resistor-color-bands.png),,,
7.2,Module 7: Active and Passive Components,"Ohm's law, Kirchhoff's laws, DC series circuit",site/static/img/figures/module-07-active-passive-components/ohms-kirchhoffs-dc-series/,https://www.google.com/imgres?q=ohm%27s%20law&imgurl=https%3A%2F%2Fwww.grc.nasa.gov%2Fwww%2Fk-12%2Fairplane%2FImages%2Fohms.jpg&imgrefurl=https%3A%2F%2Fwww.grc.nasa.gov%2Fwww%2Fk-12%2Fairplane%2Fohms.html&docid=au0HSl8GVg9lrM&tbnid=x8O4Ana9dL18wM&vet=12ahUKEwjF6YWE8fSWAxWlleEIHUg8OWQQnPAOegQINhAA..i&w=708&h=532&hcb=2&ved=2ahUKEwjF6YWE8fSWAxWlleEIHUg8OWQQnPAOegQINhAA,Not found,,,Abstract circuit-law topic - no real photo fits well; a breadboard series-circuit photo could work if you find a good one
7.4,Module 7: Active and Passive Components,"Magnetism, Relay",site/static/img/figures/module-07-active-passive-components/magnetism-relay/,https://www.pexels.com/photo/close-up-photo-of-an-electronic-device-5276099/,Added (relay-module-board.png),,,
7.5,Module 7: Active and Passive Components,"RC time constant, RC differentiator, RLC series/parallel circuits",site/static/img/figures/module-07-active-passive-components/rc-time-constant-rlc/,,Not found,,,Waveform/math concept - needs a scope screenshot not a photo; skip or find a capacitor/inductor component photo
8.1,Module 8: Power Supply Circuits,Semiconductor diodes,site/static/img/figures/module-08-power-supply-circuits/semiconductors-and-diodes/,,Not found,,,Searched diode/silicon diode - no genuine isolated-diode macro photo found on Pexels
8.2,Module 8: Power Supply Circuits,Transformer,site/static/img/figures/module-08-power-supply-circuits/transformer/,https://www.pexels.com/photo/electrical-transformer-in-close-up-shot-13287446/,Added (hv-transformer-insulators.png),,,
8.3,Module 8: Power Supply Circuits,Rectifiers,site/static/img/figures/module-08-power-supply-circuits/rectifiers/,,Not found,,,No bridge-rectifier / diode-bridge component photo found
8.4,Module 8: Power Supply Circuits,Working principle of zener diodes,site/static/img/figures/module-08-power-supply-circuits/zener-diodes/,,Not found,,,Same as 8.1 - no zener-specific photo found
8.5,Module 8: Power Supply Circuits,"Regulated power supply, Integrated circuit voltage regulators",site/static/img/figures/module-08-power-supply-circuits/regulated-power-supply-ic-regulators/,https://www.pexels.com/photo/black-transistor-beside-capacitor-163100/,Added (power-supply-board.png),,,
9.1,Module 9: Transistor,Transistors and classification,site/static/img/figures/module-09-transistor/transistors-classification/,,Not found,,,No isolated discrete-transistor macro photo found - results were generic circuit boards/CPUs
9.2,Module 9: Transistor,Biasing of transistors,site/static/img/figures/module-09-transistor/transistor-biasing/,,Not found,,,Circuit-design concept - no matching photo subject
9.3,Module 9: Transistor,Oscillators,site/static/img/figures/module-09-transistor/oscillators/,,Not found,,,Circuit-behavior concept - no matching photo subject
9.4,Module 9: Transistor,RC Phase Shift Oscillator,site/static/img/figures/module-09-transistor/rc-phase-shift-oscillator/,,Not found,,,Circuit-behavior concept - no matching photo subject
9.5,Module 9: Transistor,Multivibrators and circuit diagram study,site/static/img/figures/module-09-transistor/multivibrators/,,Not found,,,Circuit-behavior concept - no matching photo subject
9.6,Module 9: Transistor,Clipper circuit,site/static/img/figures/module-09-transistor/clipper-circuit/,,Not found,,,Waveform concept - no matching photo subject
9.7,Module 9: Transistor,Clamper circuits,site/static/img/figures/module-09-transistor/clamper-circuits/,,Not found,,,Waveform concept - no matching photo subject
10.1,Module 10: Power Electronic Components,Field Effect Transistor,site/static/img/figures/module-10-power-electronic-components/field-effect-transistor/,,Not found,,,No isolated FET component photo found
10.2,Module 10: Power Electronic Components,Lamp dimmer / fan motor speed regulator using TRIAC and DIAC,site/static/img/figures/module-10-power-electronic-components/triac-diac-dimmer/,,Not found,,,A real photo of a household dimmer switch/knob could work well here if you find one
10.3,Module 10: Power Electronic Components,MOSFET,site/static/img/figures/module-10-power-electronic-components/mosfet/,,Not found,,,No isolated MOSFET component photo found
11.1,Module 11: Opto Electronics,Light Emitting Diodes (LEDs),site/static/img/figures/module-11-opto-electronics/light-emitting-diodes/,https://www.pexels.com/photo/close-up-of-semiconnectors-15470542/,Added (led-breadboard-glowing.png),,,
12.1,Module 12: Digital Logic,Digital IC families and their operational characteristics,site/static/img/figures/module-12-digital-logic/digital-ic-families/,https://www.pexels.com/photo/black-and-yellow-electronic-chip-785418/,Added (ic-chips-macro.png),,,
12.2,Module 12: Digital Logic,Binary arithmetic,site/static/img/figures/module-12-digital-logic/binary-arithmetic/,,Not found,,,Pure math/logic concept - no real photo fits
12.3,Module 12: Digital Logic,Concept of encoder and decoder,site/static/img/figures/module-12-digital-logic/encoder-decoder/,,Not found,,,Pure logic concept - no real photo fits
12.4,Module 12: Digital Logic,Multiplexers and demultiplexers,site/static/img/figures/module-12-digital-logic/multiplexers-demultiplexers/,,Not found,,,Pure logic concept - no real photo fits
12.5,Module 12: Digital Logic,Latch circuits and applications,site/static/img/figures/module-12-digital-logic/latch-circuits/,,Not found,,,Pure logic concept - no real photo fits
13.1,Module 13: Circuit Simulator,Electronic simulation software,site/static/img/figures/module-13-circuit-simulator/electronic-simulation-software/,https://commons.wikimedia.org/wiki/File:Ngspice_kde_screenshot.jpg,Added (schematic-and-spice-waveform.png - BSD-licensed Wikimedia screenshot, not Pexels),,,
14.1,Module 14: Op Amp and Timer,Operational amplifier and its applications,site/static/img/figures/module-14-op-amp-timer/operational-amplifiers/,https://www.pexels.com/photo/black-and-yellow-electronic-chip-785418/,Added (ic-chips-macro.png),,,
