Lesson No.,Module,Lesson Title,YouTube Link,Video Title (optional),Caption (optional)
2.1,Module 2: AC and Electrical Cables,Electrical terms,https://www.youtube.com/watch?v=QNgBPTTDfts,"Basic Electrical Terms Explained: Current, Voltage, Power & More","Explains voltage, current, resistance and power as core electrical terms."
2.2,Module 2: AC and Electrical Cables,Measuring instrument meter,https://www.youtube.com/watch?v=4lAyzRxsbDc,How to use a multimeter like a pro! The Ultimate guide,"Complete guide to measuring voltage, current, resistance and continuity with a multimeter."
3.1,Module 3: Cells and Batteries,Cells and batteries,https://www.youtube.com/watch?v=0-U1mLQPKjs,Cells and Batteries | Chemistry,Covers how electrochemical cells combine to form batteries.
3.2,Module 3: Cells and Batteries,"Secondary Battery - Charge, Discharge and Maintenance",https://www.youtube.com/watch?v=pgeSdeoHb7A,Charging & Discharging process of Lead acid Battery,Shows the chemical reactions during charging and discharging of a lead-acid battery.
4.1,Module 4: AC/DC Measuring Instruments,"Types of measuring instruments, equipment, uses and features",https://www.youtube.com/watch?v=3OF3G05qHio,Classification of Electrical Instruments | Basics,Classifies electrical measuring instruments and their basic operating principles.
4.2,Module 4: AC/DC Measuring Instruments,Controls and functions of Oscilloscope,https://www.youtube.com/watch?v=vMkdbOfSpxo,"Oscilloscopes - Basics, Controls, Ports, Scaling, Divisions, Offset, Coupling, Trigger","Walks through every major oscilloscope control: scaling, offset, coupling and trigger."
5.1,Module 5: Digital Storage Oscilloscope,DSO front panel controls & Single shot signal capture,https://www.youtube.com/watch?v=4urHNFbERD4,"#EP-60 How To Use Oscilloscope Basic Function (Capture Waveform, Triggering, Single shot)",Demonstrates capturing a waveform using single-shot triggering on a DSO.
5.2,Module 5: Digital Storage Oscilloscope,Function Generator using IC 8038,https://www.youtube.com/watch?v=dAxIi6zqiIw,EP0182 8038 Function Generator,Builds and demonstrates a function generator circuit using the ICL8038 waveform IC.
6.1,Module 6: Soldering/Desoldering and Switches,Soldering and desoldering of wires,https://www.youtube.com/watch?v=bG7yW9FigJA,,
6.2,Module 6: Soldering/Desoldering and Switches,Types of switches,https://www.youtube.com/watch?v=bh5e2bGpIJg,Every Type of Electrical Switch Explained,"Surveys toggle, push-button, rocker, slide, rotary and dimmer switches."
7.1,Module 7: Active and Passive Components,"Active/passive electronic components, Resistors",https://www.youtube.com/watch?v=kTvYf0o0AB8,Basic PASSIVE Components in Electronics Explained in 5 Minutes,"Introduces passive components, with resistors as the key example."
7.2,Module 7: Active and Passive Components,"Ohm's law, Kirchhoff's laws, DC series circuit",https://www.youtube.com/watch?v=2Zu3ppq3n8I,"Kirchhoff's Law, Junction & Loop Rule, Ohm's Law - KCL & KVL Circuit Analysis",Applies Ohm's law and Kirchhoff's laws to analyze a DC series circuit.
7.3,Module 7: Active and Passive Components,Inductors and Capacitors,https://www.youtube.com/watch?v=aShkoXvRjT4,Capacitors and Inductors (Circuits for Beginners #19),Introduces how capacitors and inductors store energy and behave in circuits.
7.4,Module 7: Active and Passive Components,"Magnetism, Relay",https://www.youtube.com/watch?v=gz4NBNdTddU,"Electromagnetic Relay, Construction, and Working Explained in detail",Explains how magnetism drives relay construction and switching action.
7.5,Module 7: Active and Passive Components,"RC time constant, RC differentiator, RLC series/parallel circuits",https://www.youtube.com/watch?v=uyisBvgY5i0,RC Circuits and the Time Constant (Full Visual Explanation),Visually explains the RC time constant during capacitor charging and discharging.
8.1,Module 8: Power Supply Circuits,Semiconductor diodes,https://www.youtube.com/watch?v=Fwj_d3uO5g8,Diodes Explained - The basics how diodes work working principle pn junction,Explains the p-n junction and how semiconductor diodes conduct current.
8.2,Module 8: Power Supply Circuits,Transformer,https://www.youtube.com/watch?v=Cx4_7lIjoBA,What is a Transformer And How Do They Work? | Transformer Working Principle,Explains electromagnetic induction and step-up/step-down transformer operation.
8.3,Module 8: Power Supply Circuits,Rectifiers,https://www.youtube.com/watch?v=nltpZNGyLCg,Half Wave and Full Wave Rectifier Explained with Circuit Diagrams and Waveforms,Compares half-wave and full-wave rectifier circuits and their output waveforms.
8.4,Module 8: Power Supply Circuits,Working principle of zener diodes,https://www.youtube.com/watch?v=2n3pDP0nWbY,What is Zener diode & working as voltage regulator,Shows how a zener diode maintains constant voltage in reverse breakdown.
8.5,Module 8: Power Supply Circuits,"Regulated power supply, Integrated circuit voltage regulators",https://www.youtube.com/watch?v=4Xnx4kh8UAk,7805 Voltage Regulator Explained: Pinout & Circuit Tutorial,Explains the 7805 IC regulator's pinout and use in a regulated power supply.
9.1,Module 9: Transistor,Transistors and classification,https://www.youtube.com/watch?v=AcxDiesy-nI,Transistors - NPN & PNP - Basic Introduction,Introduces bipolar junction transistors and the NPN/PNP classification.
9.2,Module 9: Transistor,Biasing of transistors,https://www.youtube.com/watch?v=yxVavc1rFK0,Transistor Biasing: Q-Point and Load Line Explained,"Explains DC biasing, the Q-point and load line for a BJT."
9.3,Module 9: Transistor,Oscillators,https://www.youtube.com/watch?v=aJAZHPqEUKU,What is an oscillator? Oscillator tutorial in HD!,Introduces oscillator basics with sine and square wave demo circuits.
9.4,Module 9: Transistor,RC Phase Shift Oscillator,https://www.youtube.com/watch?v=xJOkHephQ8s,"RC Phase Shift Oscillator using OpAmp (Basics, Circuit, Working & Gain Calculation)",Derives and explains the RC phase shift oscillator circuit and gain requirement.
9.5,Module 9: Transistor,Multivibrators and circuit diagram study,https://www.youtube.com/watch?v=FwrZPsycw9c,"What is Multivibrator? Astable, Monostable and Bistable Multivibrators Explained",Covers the three multivibrator types and their circuit diagrams.
9.6,Module 9: Transistor,Clipper circuit,https://www.youtube.com/watch?v=S76CnEJMl5E,Clipper Circuit Explained (with Solved Examples),Explains diode clipper circuits with worked example problems.
9.7,Module 9: Transistor,Clamper circuits,https://www.youtube.com/watch?v=XYpY5NdjFxU,"Introduction to Clamper Circuit, Diode Clamper Circuit Analysis",Introduces diode clamper circuits and how they shift a waveform's DC level.
10.1,Module 10: Power Electronic Components,Field Effect Transistor,https://www.youtube.com/watch?v=TnVkkRFVB1M,What is a Field Effect Transistor (FET)? | How FET Works Explained Visually,Visually explains how a FET uses gate voltage to control current.
10.2,Module 10: Power Electronic Components,Lamp dimmer / fan motor speed regulator using TRIAC and DIAC,https://www.youtube.com/watch?v=KYpuzYZHcGk,How to Make a Triac Diac Light Dimmer Circuit | Step-by-Step Tutorial,Builds a TRIAC/DIAC-based lamp dimmer circuit step by step.
10.3,Module 10: Power Electronic Components,MOSFET,https://www.youtube.com/watch?v=DLd5dUychY8,What is a MOSFET? How MOSFETs Work? (MOSFET Tutorial),Explains MOSFET structure and switching operation.
11.1,Module 11: Opto Electronics,Light Emitting Diodes (LEDs),https://www.youtube.com/watch?v=myqqCCBVyY8,"Light Emitting Diode (LED): Construction, Working Principle and Applications","Covers LED construction, working principle and common applications."
12.1,Module 12: Digital Logic,Digital IC families and their operational characteristics,https://www.youtube.com/watch?v=MnmYoCO2LFA,What is TTL & CMOS? | TTL vs CMOS explained | TTL CMOS compatibility,Compares TTL and CMOS digital logic families and their compatibility.
12.2,Module 12: Digital Logic,Binary arithmetic,https://www.youtube.com/watch?v=-lQE1narsRU,Binary Addition and Subtraction | Binary Multiplication and Division | Digital Electronics,"Walks through binary addition, subtraction, multiplication and division."
12.3,Module 12: Digital Logic,Concept of encoder and decoder,https://www.youtube.com/watch?v=qvX-vmtAz44,Encoder and Decoder in DLD | Explained with Examples,Explains encoder and decoder combinational logic circuits with examples.
12.4,Module 12: Digital Logic,Multiplexers and demultiplexers,https://www.youtube.com/watch?v=ULV6HP9AI0o,Multiplexer and Demultiplexer Circuits | Digital Electronics Explained,Explains how multiplexers and demultiplexers route digital signals.
12.5,Module 12: Digital Logic,Latch circuits and applications,https://www.youtube.com/watch?v=L5V1IxFhq0k,SR Latch Circuit - Basic Introduction,Introduces the SR latch and how it stores one bit of data.
13.1,Module 13: Circuit Simulator,Electronic simulation software,https://www.youtube.com/watch?v=InusAmkYRKU,Proteus Design Guide: From Resistors to Simulation,Beginner walkthrough of designing and simulating a circuit in Proteus.
14.1,Module 14: Op Amp and Timer,Operational amplifier and its applications,https://www.youtube.com/watch?v=n2wnyZv0rmc,Op Amps for Beginners | Operational Amplifier Basics,Introduces op-amp basics and common application circuits.
14.2,Module 14: Op Amp and Timer,"Op-amp applications - comparators, differentiator",https://www.youtube.com/watch?v=d6670gSIbiM,"Op-Amp Comparator Explained — Simple Circuit, Powerful Applications",Explains the op-amp comparator circuit and its practical applications.
14.3,Module 14: Op Amp and Timer,Op-amp applications - differential and instrumentation amplifier,https://www.youtube.com/watch?v=byLFy2_Y4h4,Instrumentation Amplifier Explained | Why It's Better than a Difference Amplifier,Compares the differential amplifier to the instrumentation amplifier and why it's preferred.
14.4,Module 14: Op Amp and Timer,Timer IC and its applications,https://www.youtube.com/watch?v=4I4lVltpXio,NE555 Timer IC Explained + Easy Projects for Beginners (Step-by-Step Tutorial),Explains the 555 timer IC and walks through simple beginner projects.
